Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
jul/15;SESI;33.641.358/0001-52;188.067.056
jul/15;SENAC;33.469.172/0001-68;198.775.366
jul/15;SESC;33.469.164/0001-11;357.769.318
jul/15;SEBRAE;00.330.854/0001-45;251.290.982
jul/15;EMBRATUR;35.842.428/0001-66;0
jul/15;DPC;852001 / 00001;12.344.448
jul/15;ANAC;122002 / 00001;16.927.860
jul/15;SENAR;37.138.245/0001-90;55.866.485
jul/15;SEST;73.471.989/0001-95;37.714.635
jul/15;SENAT;73.471.963/0001-47;24.117.872
jul/15;SESCOOP;03.087.543/0001-86;22.770.769
jul/15;SDR;420013 / 00001;18.823.330
jul/15;APEX-BR;05.507.500/0001-38;36.283.379
jul/15;ABDI;07.200.966/0001-11;5.198.127
ago/15;FNDE;153173 / 15253;1.423.029.337
ago/15;INCRA;373001 / 37201;99.312.699
ago/15;SENAI;33.564.543/0001-90;120.579.877
ago/15;SESI;33.641.358/0001-52;173.341.613
ago/15;SENAC;33.469.172/0001-68;186.518.805
ago/15;SESC;33.469.164/0001-11;334.869.835
ago/15;SEBRAE;00.330.854/0001-45;236.223.522
ago/15;EMBRATUR;35.842.428/0001-66;0
ago/15;DPC;852001 / 00001;12.096.033
ago/15;ANAC;122002 / 00001;16.007.685
ago/15;SENAR;37.138.245/0001-90;52.971.979
ago/15;SEST;73.471.989/0001-95;35.870.763
ago/15;SENAT;73.471.963/0001-47;22.634.160
ago/15;SESCOOP;03.087.543/0001-86;21.936.120
ago/15;SDR;420013 / 00001;17.516.208
ago/15;APEX-BR;05.507.500/0001-38;34.121.502
ago/15;ABDI;07.200.966/0001-11;4.888.414
set/15;FNDE;153173 / 15253;1.562.096.473
set/15;INCRA;373001 / 37201;110.041.323
set/15;SENAI;33.564.543/0001-90;134.680.242
set/15;SESI;33.641.358/0001-52;193.913.488
set/15;SENAC;33.469.172/0001-68;204.643.886
set/15;SESC;33.469.164/0001-11;368.111.074
set/15;SEBRAE;00.330.854/0001-45;258.191.826
set/15;EMBRATUR;35.842.428/0001-66;0
set/15;DPC;852001 / 00001;12.785.671
set/15;ANAC;122002 / 00001;18.450.493
set/15;SENAR;37.138.245/0001-90;58.350.822
set/15;SEST;73.471.989/0001-95;40.999.695
set/15;SENAT;73.471.963/0001-47;25.886.746
set/15;SESCOOP;03.087.543/0001-86;23.494.676
set/15;SDR;420013 / 00001;19.406.435
set/15;APEX-BR;05.507.500/0001-38;37.300.570
set/15;ABDI;07.200.966/0001-11;5.343.856
out/15;FNDE;153173 / 15253;1.475.278.041
out/15;INCRA;373001 / 37201;102.912.717
out/15;SENAI;33.564.543/0001-90;125.160.250
out/15;SESI;33.641.358/0001-52;179.631.610
out/15;SENAC;33.469.172/0001-68;193.903.575
out/15;SESC;33.469.164/0001-11;347.121.597
out/15;SEBRAE;00.330.854/0001-45;243.374.577
out/15;EMBRATUR;35.842.428/0001-66;0
out/15;DPC;852001 / 00001;12.095.445
out/15;ANAC;122002 / 00001;15.653.426
out/15;SENAR;37.138.245/0001-90;55.014.695
out/15;SEST;73.471.989/0001-95;37.047.706
out/15;SENAT;73.471.963/0001-47;23.350.397
out/15;SESCOOP;03.087.543/0001-86;23.668.256
out/15;SDR;420013 / 00001;18.149.574
out/15;APEX-BR;05.507.500/0001-38;35.119.139
out/15;ABDI;07.200.966/0001-11;5.031.336
nov/15;FNDE;153173 / 15253;1.418.418.705
nov/15;INCRA;373001 / 37201;99.203.321
nov/15;SENAI;33.564.543/0001-90;120.055.039
nov/15;SESI;33.641.358/0001-52;172.125.628
nov/15;SENAC;33.469.172/0001-68;189.277.058
nov/15;SESC;33.469.164/0001-11;330.379.586
nov/15;SEBRAE;00.330.854/0001-45;235.550.305
nov/15;EMBRATUR;35.842.428/0001-66;0
nov/15;DPC;852001 / 00001;12.170.236
nov/15;ANAC;122002 / 00001;15.515.840
nov/15;SENAR;37.138.245/0001-90;55.841.556
nov/15;SEST;73.471.989/0001-95;35.734.607
nov/15;SENAT;73.471.963/0001-47;22.512.368
nov/15;SESCOOP;03.087.543/0001-86;22.659.534
nov/15;SDR;420013 / 00001;17.494.083
nov/15;APEX-BR;05.507.500/0001-38;33.952.467
nov/15;ABDI;07.200.966/0001-11;4.864.197
dez/15;FNDE;153173 / 15253;1.505.051.956
dez/15;INCRA;373001 / 37201;107.359.603
dez/15;SENAI;33.564.543/0001-90;125.669.841
dez/15;SESI;33.641.358/0001-52;180.405.910
dez/15;SENAC;33.469.172/0001-68;200.515.725
dez/15;SESC;33.469.164/0001-11;360.311.950
dez/15;SEBRAE;00.330.854/0001-45;249.253.135
dez/15;EMBRATUR;35.842.428/0001-66;0
dez/15;DPC;852001 / 00001;12.181.794
dez/15;ANAC;122002 / 00001;19.097.423
dez/15;SENAR;37.138.245/0001-90;55.237.564
dez/15;SEST;73.471.989/0001-95;38.150.014
dez/15;SENAT;73.471.963/0001-47;24.009.971
dez/15;SESCOOP;03.087.543/0001-86;25.082.901
dez/15;SDR;420013 / 00001;18.935.023
dez/15;APEX-BR;05.507.500/0001-38;35.780.894
dez/15;ABDI;07.200.966/0001-11;5.126.142
jan/16;FNDE;153173 / 15253;2.641.342.636
jan/16;INCRA;373001 / 37201;184.369.799
jan/16;SENAI;33.564.543/0001-90;206.590.219
jan/16;SESI;33.641.358/0001-52;295.942.048
jan/16;SENAC;33.469.172/0001-68;341.443.629
jan/16;SESC;33.469.164/0001-11;616.112.072
jan/16;SEBRAE;00.330.854/0001-45;427.854.975
jan/16;EMBRATUR;35.842.428/0001-66;0
jan/16;DPC;852001 / 00001;19.619.304
jan/16;ANAC;122002 / 00001;29.767.428
jan/16;SENAR;37.138.245/0001-90;49.508.667
jan/16;SEST;73.471.989/0001-95;57.950.675
jan/16;SENAT;73.471.963/0001-47;37.579.076
jan/16;SESCOOP;03.087.543/0001-86;43.435.416
jan/16;SDR;420013 / 00001;32.532.048
jan/16;APEX-BR;05.507.500/0001-38;61.982.179
jan/16;ABDI;07.200.966/0001-11;8.879.876
fev/16;FNDE;153173 / 15253;1.561.552.120
fev/16;INCRA;373001 / 37201;108.896.716
fev/16;SENAI;33.564.543/0001-90;126.387.105
fev/16;SESI;33.641.358/0001-52;181.272.664
fev/16;SENAC;33.469.172/0001-68;204.004.841
fev/16;SESC;33.469.164/0001-11;368.394.356
fev/16;SEBRAE;00.330.854/0001-45;256.686.003
fev/16;EMBRATUR;35.842.428/0001-66;0
fev/16;DPC;852001 / 00001;13.112.651
fev/16;ANAC;122002 / 00001;21.368.230
fev/16;SENAR;37.138.245/0001-90;47.883.790
fev/16;SEST;73.471.989/0001-95;35.750.274
fev/16;SENAT;73.471.963/0001-47;22.783.314
fev/16;SESCOOP;03.087.543/0001-86;24.725.690
fev/16;SDR;420013 / 00001;19.205.062
fev/16;APEX-BR;05.507.500/0001-38;37.086.041
fev/16;ABDI;07.200.966/0001-11;5.313.125
mar/16;FNDE;153173 / 15253;1.530.800.283
mar/16;INCRA;373001 / 37201;108.377.346
